FaceID,X,Y,Z,U_std,V_std,U_fast,V_fast,U_diff,V_diff,PixelX_std,PixelY_std,PixelX_fast,PixelY_fast,URegion_std,URegion_fast
120,0.491120505,-0.356818574,0.794657885,0.6618966402495866,0.3838614343263011,0.6618966402495866,0.37841781513161754,0.0,0.005443619194683558,211,61,211,60,other,other
121,0.362625604,-0.353049631,0.862472393,0.6866548122710283,0.3851446775765874,0.6866548122710283,0.37988602395269505,0.0,0.005258653623892329,219,61,219,60,other,other
122,0.232060714,-0.342416149,0.910438908,0.710278968441544,0.38875473626266493,0.710278968441544,0.3839927284335279,0.0,0.004762007829137049,226,61,226,61,other,other
123,0.189502077,-0.222133158,0.956423454,0.7188688519758545,0.42869803007207774,0.7188688519758545,0.4274810303776866,0.0,0.001216999694391152,229,68,229,67,other,other
124,0.317885877,-0.230956726,0.919569225,0.6970284571739418,0.4258144181004323,0.6970284571739418,0.4244413900036135,0.0,0.001373028096818829,222,67,222,67,other,other
125,0.447829577,-0.235778328,0.862471594,0.6737774015413341,0.4242360723735824,0.6737774015413341,0.4227721314312962,0.0,0.0014639409422861904,214,67,214,67,other,other
126,0.571137135,-0.235778475,0.786263877,0.6500155031641577,0.4242360242275307,0.6500155031641577,0.422772080451186,0.0,0.0014639437763446783,207,67,207,67,other,other
127,0.680320176,-0.230957059,0.695574076,0.6267644045863039,0.42581430917789237,0.6267644045863039,0.42444127494365014,0.0,0.001373034234242232,199,67,199,67,other,other
128,0.770699495,-0.222133639,0.597226033,0.6049239312016398,0.4286978730138996,0.6049239312016398,0.42748086516750156,0.0,0.001217007846398055,192,68,192,67,other,other
129,0.813929477,-0.10665214,0.571090298,0.5973757299655209,0.46598687904712166,0.5973757299655208,0.4658568303172917,1.1102230246251565e-16,0.00013004872982996796,190,74,190,74,other,other
130,0.734779488,-0.111584389,0.66906504,0.6175553364856158,0.464407462685701,0.6175553364856158,0.4642583780364412,0.0,0.0001490846492597786,197,73,197,73,other,other
131,0.636607045,-0.114891009,0.762582144,0.6392908812446602,0.46334811857320135,0.6392908812446602,0.46318527267986,0.0,0.0001628458933413679,203,73,203,73,other,other
132,0.522176321,-0.116059696,0.844903566,0.661896286071092,0.4629736085648696,0.661896286071092,0.4628057012073716,0.0,0.00016790735749799834,211,73,211,73,other,other
133,0.397370508,-0.114890917,0.910437673,0.6845016924984061,0.46334814804951013,0.6845016924984061,0.4631853025504587,0.0,0.00016284549905143386,218,73,218,73,other,other
134,0.269822221,-0.111584253,0.956422984,0.7062371996865104,0.46440750626901883,0.7062371996865104,0.46425842216925944,0.0,0.00014908409975938897,225,73,225,73,other,other
135,0.146794345,-0.106651938,0.983400623,0.726416729680918,0.4659869437137722,0.726416729680918,0.4658568957279663,0.0,0.00013004798580590338,231,74,231,74,other,other
136,0.098860477,1.59e-09,0.995101304,0.7342401237093922,0.5000000005061127,0.7342401237093922,0.5000000005061127,0.0,0.0,234,79,234,79,u075,u075
137,0.216100878,-3.99e-10,0.976371041,0.7153329960847373,0.49999999987299437,0.7153329960847373,0.49999999987299437,0.0,0.0,228,79,228,79,other,other
138,0.340281017,7.96e-10,0.94032379,0.6947388998399812,0.5000000002533747,0.6947388998399812,0.5000000002533747,0.0,0.0,221,79,221,79,other,other
139,0.465247694,3.19e-09,0.885180537,0.6729826290058026,0.5000000010154085,0.6729826290058026,0.5000000010154085,0.0,0.0,214,79,214,79,other,other
140,0.583661356,3.19e-09,0.811997181,0.6508097857431039,0.5000000010154085,0.6508097857431039,0.5000000010154085,0.0,0.0,207,79,207,79,other,other
141,0.688870195,5.58e-09,0.724884718,0.6290534960459325,0.5000000017761692,0.6290534960459325,0.5000000017761692,0.0,0.0,200,79,200,79,other,other
142,0.776647413,5.57e-09,0.629935549,0.608459354494663,0.5000000017729861,0.608459354494663,0.5000000017729861,0.0,0.0,194,79,194,79,other,other
143,0.845832284,0.0,0.533448917,0.589552171717145,0.5,0.589552171717145,0.5,0.0,0.0,188,79,188,79,other,other
144,0.813929452,0.106652137,0.571090334,0.5973757369810891,0.5340131199961905,0.5973757369810891,0.5341431687150132,0.0,0.0001300487188227173,190,84,190,84,other,other
145,0.734779452,0.111584404,0.669065077,0.6175553447488829,0.5355925421197706,0.6175553447488829,0.535741626829618,0.0,0.0001490847098474246,197,85,197,85,other,other
146,0.770699464,0.222133652,0.597226068,0.6049239388171317,0.5713021312374884,0.6049239388171317,0.5725191393045528,0.0,0.0012170080670643735,192,90,192,91,other,other
147,0.710535251,0.342416936,0.614727825,0.6135141714311372,0.6112455303349472,0.6135141714311372,0.6160075735742171,0.0,0.004762043239269875,195,97,195,97,other,other
148,0.680320126,0.230957125,0.695574103,0.6267644135215855,0.5741857124137499,0.6267644135215855,0.5755587478646117,0.0,0.0013730354508617593,199,91,199,91,other,other
149,0.636607044,0.114891019,0.762582143,0.6392908812649779,0.5366518846403301,0.6392908812649779,0.5368147305766573,0.0,0.000162845936327205,203,85,203,85,other,other
150,0.522176231,0.116059712,0.84490362,0.6618963028877367,0.5370263965446677,0.6618963028877367,0.5371943039719301,0.0,0.00016790742726247032,211,85,211,85,other,other
151,0.571137098,0.235778479,0.786263902,0.6500155104730503,0.5757639771237602,0.6500155104730503,0.577227920979647,0.0,0.0014639438558868845,207,91,207,91,other,other
152,0.609241197,0.353050073,0.710056906,0.6371384208160319,0.6148554727631474,0.6371384208160319,0.6201141477943073,0.0,0.005258675031159843,203,97,203,98,other,other
153,0.63417426,0.460752817,0.620910501,0.6233181102246307,0.6524205337359322,0.6233181102246307,0.6652478499192109,0.0,0.012827316183278703,198,103,198,105,other,other
154,0.545226023,0.569944058,0.614729497,0.6345250303103844,0.6930351380138375,0.6345250303103844,0.7207891830709807,0.0,0.027754045057143184,202,110,202,114,other,other
155,0.52403742,0.4703219,0.71005781,0.6488108431990329,0.6558621876464714,0.6488108431990327,0.6696418919182789,2.220446049250313e-16,0.013779704271807525,206,104,206,106,other,other
156,0.491120557,0.356818594,0.794657845,0.6618966291307359,0.6161385723804846,0.6618966291307359,0.621582192553653,0.0,0.005443620173168351,211,97,211,98,other,other
157,0.447829544,0.235778348,0.862471605,0.6737774071679408,0.5757639342217594,0.6737774071679408,0.5772278755522721,0.0,0.0014639413305126414,214,91,214,91,other,other
158,0.397370421,0.114890903,0.910437713,0.6845017078369702,0.5366518474556907,0.6845017078369702,0.5368146928946175,0.0,0.00016284543892675085,218,85,218,85,other,other
159,0.269822221,0.111584253,0.956422984,0.7062371996865104,0.5355924937309812,0.7062371996865104,0.5357415778307405,0.0,0.00014908409975933345,225,85,225,85,other,other
160,0.317885876,0.230956744,0.919569221,0.6970284571147668,0.5741855877761854,0.6970284571147668,0.5755586162041316,0.0,0.0013730284279461769,222,91,222,91,other,other
161,0.362625599,0.353049664,0.862472382,0.6866548123298427,0.6148553336085417,0.6866548123298427,0.6201139888251118,0.0,0.005258655216570096,219,97,219,98,other,other
162,0.400729364,0.470321564,0.786265606,0.67498280172766,0.6558620665221231,0.6749828017276599,0.6696417363908752,1.1102230246251565e-16,0.01377966986875212,215,104,215,106,other,other
163,0.429883067,0.575650671,0.695576633,0.6618970524656248,0.6952511769609528,0.6618970524656248,0.7240873876214505,0.0,0.028836210660497685,211,110,211,115,other,other
164,0.44942011,0.664333442,0.597229137,0.6473283930777242,0.7312844955291978,0.6473283930777242,0.7829189483309098,0.0,0.05163445280171197,206,116,206,124,other,other
165,0.352947486,0.741133792,0.571094365,0.6618975665577196,0.7657115946540722,0.6618975665577196,0.7657115946540722,0.0,0.0,211,121,211,121,other,other
