FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
118,0.710535213,-0.342416955,0.614727858,0.6135141798702322,0.3887544632038592,195,61,other
119,0.609241107,-0.353050043,0.710056998,0.637138442626002,0.38514453743163884,203,61,other
120,0.491120505,-0.356818574,0.794657885,0.6618966402495866,0.3838614343263011,211,61,other
121,0.362625604,-0.353049631,0.862472393,0.6866548122710283,0.3851446775765874,219,61,other
122,0.232060714,-0.342416149,0.910438908,0.710278968441544,0.38875473626266493,226,61,other
123,0.189502077,-0.222133158,0.956423454,0.7188688519758545,0.42869803007207774,229,68,other
124,0.317885877,-0.230956726,0.919569225,0.6970284571739418,0.4258144181004323,222,67,other
125,0.447829577,-0.235778328,0.862471594,0.6737774015413341,0.4242360723735824,214,67,other
126,0.571137135,-0.235778475,0.786263877,0.6500155031641577,0.4242360242275307,207,67,other
127,0.680320176,-0.230957059,0.695574076,0.6267644045863039,0.42581430917789237,199,67,other
128,0.770699495,-0.222133639,0.597226033,0.6049239312016398,0.4286978730138996,192,68,other
129,0.813929477,-0.10665214,0.571090298,0.5973757299655209,0.46598687904712166,190,74,other
130,0.734779488,-0.111584389,0.66906504,0.6175553364856158,0.464407462685701,197,73,other
131,0.636607045,-0.114891009,0.762582144,0.6392908812446602,0.46334811857320135,203,73,other
132,0.522176321,-0.116059696,0.844903566,0.661896286071092,0.4629736085648696,211,73,other
133,0.397370508,-0.114890917,0.910437673,0.6845016924984061,0.46334814804951013,218,73,other
134,0.269822221,-0.111584253,0.956422984,0.7062371996865104,0.46440750626901883,225,73,other
135,0.146794345,-0.106651938,0.983400623,0.726416729680918,0.4659869437137722,231,74,other
136,0.098860477,1.59e-09,0.995101304,0.7342401237093922,0.5000000005061127,234,79,u075
137,0.216100878,-3.99e-10,0.976371041,0.7153329960847373,0.49999999987299437,228,79,other
138,0.340281017,7.96e-10,0.94032379,0.6947388998399812,0.5000000002533747,221,79,other
139,0.465247694,3.19e-09,0.885180537,0.6729826290058026,0.5000000010154085,214,79,other
140,0.583661356,3.19e-09,0.811997181,0.6508097857431039,0.5000000010154085,207,79,other
141,0.688870195,5.58e-09,0.724884718,0.6290534960459325,0.5000000017761692,200,79,other
142,0.776647413,5.57e-09,0.629935549,0.608459354494663,0.5000000017729861,194,79,other
143,0.845832284,0.0,0.533448917,0.589552171717145,0.5,188,79,other
144,0.813929452,0.106652137,0.571090334,0.5973757369810891,0.5340131199961905,190,84,other
145,0.734779452,0.111584404,0.669065077,0.6175553447488829,0.5355925421197706,197,85,other
146,0.770699464,0.222133652,0.597226068,0.6049239388171317,0.5713021312374884,192,90,other
147,0.710535251,0.342416936,0.614727825,0.6135141714311372,0.6112455303349472,195,97,other
148,0.680320126,0.230957125,0.695574103,0.6267644135215855,0.5741857124137499,199,91,other
149,0.636607044,0.114891019,0.762582143,0.6392908812649779,0.5366518846403301,203,85,other
150,0.522176231,0.116059712,0.84490362,0.6618963028877367,0.5370263965446677,211,85,other
151,0.571137098,0.235778479,0.786263902,0.6500155104730503,0.5757639771237602,207,91,other
152,0.609241197,0.353050073,0.710056906,0.6371384208160319,0.6148554727631474,203,97,other
153,0.63417426,0.460752817,0.620910501,0.6233181102246307,0.6524205337359322,198,103,other
154,0.545226023,0.569944058,0.614729497,0.6345250303103844,0.6930351380138375,202,110,other
155,0.52403742,0.4703219,0.71005781,0.6488108431990329,0.6558621876464714,206,104,other
156,0.491120557,0.356818594,0.794657845,0.6618966291307359,0.6161385723804846,211,97,other
157,0.447829544,0.235778348,0.862471605,0.6737774071679408,0.5757639342217594,214,91,other
158,0.397370421,0.114890903,0.910437713,0.6845017078369702,0.5366518474556907,218,85,other
